node,x,y,z,UX,UY,UZ,RX,RY,RZ,translation_magnitude
0,0.0,0.0,0.0,-2.130509973693888e-08,9.60060482855402e-09,4.4151871379893806e-08,,,,4.9954645772156706e-08
1,0.0,1.0,0.0,-2.552599536156673e-08,4.747862317415373e-09,1.2197148757357386e-08,,,,2.868604318467369e-08
2,0.0,0.0,1.0,-1.224752957273863e-07,3.488004239876079e-08,5.2088869380361044e-08,,,,1.3758657541553387e-07
3,-1.0,0.0,0.0,-2.8735437453678747e-08,5.7929093668572785e-09,-2.3494921287290647e-08,,,,3.7567199667833766e-08
4,-1.0,1.0,0.0,-2.677205429032368e-08,1.0813070240385323e-08,-2.2494645417966204e-08,,,,3.6601563510696826e-08
5,-1.0,0.0,1.0,-1.0094650732697989e-07,1.5918108584748913e-08,-3.135872828703939e-08,,,,1.0689692868465504e-07
6,1.0,0.0,0.0,-2.2626923518079705e-08,1.3821500453181864e-08,2.1960778165605546e-07,,,,2.2120259787480813e-07
7,0.0,0.0,-1.0,0.0,0.0,0.0,,,,0.0
8,0.0,1.0,-1.0,0.0,0.0,0.0,,,,0.0
9,-1.0,1.0,-1.0,0.0,0.0,0.0,,,,0.0
10,-1.0,0.0,-1.0,0.0,0.0,0.0,,,,0.0
