node,contributing_element_count,source,hydrostatic_pressure,principal_strain_0,principal_strain_1,principal_strain_2,principal_stress_0,principal_stress_1,principal_stress_2,strain_0,strain_1,strain_2,strain_3,strain_4,strain_5,strain_trace,stress_0,stress_1,stress_2,stress_3,stress_4,stress_5,stress_trace,von_mises,x,y,z
0,3,element_nodal_average,-139.96633669328227,-1.6488123636418683e-08,-6.926499435859171e-10,1.7980581218251922e-08,-2566.566354326131,-14.98983471468307,3001.4551991206604,-1.1456184015788292e-09,-1.5757262464488666e-09,3.521152286275023e-09,1.103542663213333e-09,-1.4833966782954764e-09,1.650793650793649e-08,7.998076382473265e-10,-88.16166254430755,-157.64062210023693,665.7012947243912,89.13229202876921,-119.8128086315578,1333.3333333333321,419.8990100798469,4870.731344273917,0.0,0.0,0.0
1,3,element_nodal_average,-139.96633669328227,-1.6488123636418683e-08,-6.926499435859171e-10,1.7980581218251922e-08,-2566.566354326131,-14.98983471468307,3001.4551991206604,-1.1456184015788292e-09,-1.5757262464488666e-09,3.521152286275023e-09,1.103542663213333e-09,-1.4833966782954764e-09,1.650793650793649e-08,7.998076382473265e-10,-88.16166254430755,-157.64062210023693,665.7012947243912,89.13229202876921,-119.8128086315578,1333.3333333333321,419.8990100798469,4870.731344273917,0.0,1.0,0.0
2,2,element_nodal_average,210.12199208246383,-2.468288256866028e-08,-2.1937546773323954e-09,2.5675940148378588e-08,-4132.703947917598,-499.8448270107845,4002.1827986809903,-2.802977183055346e-09,-2.3845166649719746e-09,3.986796750413241e-09,2.2196921101382483e-09,-2.225095017443218e-09,2.4761904761904736e-08,-1.2006970976140791e-09,-598.2576933198768,-530.6602250141017,498.5519420865869,179.282824280397,-179.71921294733693,1999.9999999999982,-630.3659762473915,7099.339644276318,0.0,0.0,1.0
3,2,element_nodal_average,-55.73673057349413,-7.587711915845611e-09,1.3727854476401112e-09,6.533422071482608e-09,-1187.1203421626415,260.34461655428316,1093.9859173288405,-1.0575157117978314e-09,6.278188589602393e-11,1.313229429178915e-09,1.6553139948200027e-09,1.1125475087216097e-09,-1.2380952380952385e-08,3.1849560327710753e-10,-132.2424938164612,48.72865658023821,250.72402895670533,133.69843804315406,89.85960647366842,-1000.0000000000005,167.2101917204825,2007.8076089584354,-1.0,0.0,0.0
4,2,element_nodal_average,-55.73673057349413,-7.587711915845611e-09,1.3727854476401112e-09,6.533422071482608e-09,-1187.1203421626415,260.34461655428316,1093.9859173288405,-1.0575157117978314e-09,6.278188589602393e-11,1.313229429178915e-09,1.6553139948200027e-09,1.1125475087216097e-09,-1.2380952380952385e-08,3.1849560327710753e-10,-132.2424938164612,48.72865658023821,250.72402895670533,133.69843804315406,89.85960647366842,-1000.0000000000005,167.2101917204825,2007.8076089584354,-1.0,1.0,0.0
5,1,element_nodal_average,728.6695330977863,-1.5076818059755737e-08,4.360113713731826e-10,1.047698078496663e-08,-2939.9495171820868,-434.0309167689535,1187.971834657681,-4.284130584969867e-09,8.370918119469866e-11,3.659550035924524e-11,4.439384220276503e-09,2.2250950174432127e-09,-2.4761904761904772e-08,-4.163825903415923e-09,-1196.5153866397534,-490.94127056701615,-498.55194208658935,358.5656485607945,179.7192129473364,-2000.0000000000011,-2186.0085992933587,3602.100473647754,-1.0,0.0,1.0
6,1,element_nodal_average,-308.4255489328586,-3.428894707756482e-08,-4.823520726037973e-09,4.0874899511790546e-08,-5325.458378653109,-565.6587372526155,6816.3937627043,-1.321823781140825e-09,-4.852742511138648e-09,7.936998000467237e-09,-6.617444900424222e-24,-6.675285052329649e-09,7.428571428571425e-08,1.7624317081877644e-09,-3.410605131648481e-13,-570.3791794611872,1495.6558262597632,-5.344859342650333e-13,-539.1576388420102,5999.999999999997,925.2766467985757,10596.578814904882,1.0,0.0,0.0
7,1,element_nodal_average,-840.1429942447745,-9.860577193548632e-11,2.3095595239070395e-09,2.589863357998585e-09,565.7088328568037,954.7201498775198,1000.0,2.169099161374204e-09,4.185459059734921e-11,2.589863357998585e-09,-1.1287562306364978e-09,6.410649747285966e-24,1.6543612251060557e-24,4.800817109970138e-09,932.030399006831,588.3985837274926,1000.0,-91.16877247448636,4.405364961712622e-13,1.4210854715202006e-13,2520.4289827343237,413.51474426911665,0.0,0.0,-1.0
8,1,element_nodal_average,-840.1429942447745,-9.860577193548632e-11,2.3095595239070395e-09,2.589863357998585e-09,565.7088328568037,954.7201498775198,1000.0,2.169099161374204e-09,4.185459059734921e-11,2.589863357998585e-09,-1.1287562306364978e-09,6.410649747285966e-24,1.6543612251060557e-24,4.800817109970138e-09,932.030399006831,588.3985837274926,1000.0,-91.16877247448636,4.405364961712622e-13,1.4210854715202006e-13,2520.4289827343237,413.51474426911665,0.0,1.0,-1.0
9,1,element_nodal_average,-840.1429942447745,-9.860577193548632e-11,2.3095595239070395e-09,2.589863357998585e-09,565.7088328568037,954.7201498775198,1000.0,2.169099161374204e-09,4.185459059734921e-11,2.589863357998585e-09,-1.1287562306364978e-09,6.410649747285966e-24,1.6543612251060557e-24,4.800817109970138e-09,932.030399006831,588.3985837274926,1000.0,-91.16877247448636,4.405364961712622e-13,1.4210854715202006e-13,2520.4289827343237,413.51474426911665,-1.0,1.0,-1.0
